,CTYNAME,age_grp,N0,V0_1,V0_2,V0_3,V0_4,S0_1,S0_2,S0_3,S0_4,R0,theta_1,theta_2,theta_3,theta_4
212,Erath,20,31864,31017,26238,31047,31057,847,5626,817,807,0,0,0,0,0
213,Erath,5_19,9966,6066,5132,6071,6075,3900,4834,3895,3891,0,0,0,0,0
214,Falls,0_4,974,957,810,949,950,17,164,25,24,0,1,0,1,1
215,Falls,20,13246,13008,11022,12906,12909,238,2224,340,337,0,0,0,0,0
216,Falls,5_19,3066,2481,2102,2462,2464,585,964,604,602,0,0,0,0,0
217,Fannin,0_4,1911,1843,1557,1862,1864,68,354,49,47,0,1,1,1,1
218,Fannin,20,28770,27751,23435,28032,28038,1019,5335,738,732,0,0,0,0,0
219,Fannin,5_19,6890,5326,4499,5379,5382,1564,2391,1511,1508,0,0,0,0,0
220,Fayette,0_4,1295,1278,1084,1262,1263,17,211,33,32,0,1,1,1,1
221,Fayette,20,19782,19523,16555,19275,19278,259,3227,507,504,0,0,0,0,0
222,Fayette,5_19,4397,3520,2986,3477,3480,877,1411,920,917,0,0,0,0,0
223,Fisher,0_4,157,155,131,153,153,2,26,4,4,0,0,0,0,0
224,Fisher,20,2753,2716,2303,2682,2683,37,450,71,70,0,0,0,0,0
225,Fisher,5_19,702,505,429,499,499,197,273,203,203,0,0,0,0,0
226,Floyd,0_4,297,292,248,289,290,5,49,8,7,0,0,0,0,0
227,Floyd,20,3645,3589,3043,3552,3552,56,602,93,93,0,0,0,0,0
228,Floyd,5_19,1148,911,772,901,902,237,376,247,246,0,0,0,0,0
229,Foard,0_4,49,47,40,48,48,2,9,1,1,0,0,0,0,0
230,Foard,20,829,801,677,808,808,28,152,21,21,0,0,0,0,0
231,Foard,5_19,201,156,132,158,158,45,69,43,43,0,0,0,0,0
232,Fort Bend,0_4,53674,52933,44882,52297,52355,741,8792,1377,1319,0,27,23,26,26
233,Fort Bend,20,651667,642674,544924,634952,635065,8993,106743,16715,16602,0,0,0,0,0
234,Fort Bend,5_19,211437,171212,145183,169228,169344,40225,66254,42209,42093,0,0,0,0,0
235,Franklin,0_4,592,581,492,577,577,11,100,15,15,0,0,0,0,0
236,Franklin,20,8159,8005,6781,7950,7951,154,1378,209,208,0,0,0,0,0
237,Franklin,5_19,1984,1558,1320,1548,1549,426,664,436,435,0,0,0,0,0
238,Freestone,0_4,1136,1096,925,1107,1108,40,211,29,28,0,1,1,1,1
239,Freestone,20,15402,14857,12546,15007,15010,545,2856,395,392,0,0,0,0,0
240,Freestone,5_19,3903,3100,2618,3130,3133,803,1285,773,770,0,0,0,0,0
241,Frio,0_4,1150,1144,971,1121,1122,6,179,29,28,0,1,1,1,1
